tool-name,module,tags,metrics,configs,
Ping,Application,network performance,packet size|packet size actual|packets transmitted|packets received|packet loss|rtt|minimum rtt|maximum rtt|average rtt|deviation rtt,count|packet size,
Iperf3,Application,network performance,throughput|mss|rtt|minimum rtt|maximum rtt|average rtt|congestion window|retransmits,duration|protocol|parallel connections,
Iperf,Application,network performance,throughput|mss|rtt|minimum rtt|maximum rtt|average rtt|retransmits,duration|protocol|parallel connections,
MahiMahi,Host,single hop|network simulator,,link delay|uplink loss|downlink loss|uplink trace|downlink trace,
Mininet,Host,multi hop|well known topologies|network simulator,,node count|hop count|topology,
Wireshark,Application,network measurement|network monitoring,,,
TCPDump,Application,network measurement|network monitoring,,,
Firefox,Application,browser|video streaming,,,
Chrome,Application,browser|video streaming,,,
Apache,Application,http server|http,,,
Python-HTTP,Application,http server|http,,,